gid,pid,detail,off,def,type,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,pts,bc,kne,dir,rtck1,rtck2,psr,comp,spk,loc,trg,dfb,dot,ptck1,ptck2,sk1,sk2,ptm,pen,desc,pey,act,ints,iry,fum,frcv,fry,forc,fuml,saf,blk,brcv,fgxp,fkicker,dist,good,punter,pgro,pnet,ptb,pr,pry,pfc,kicker,kgro,knet,ktb,kr,kry,td,td_type,epa
6449,1058140,(6:34) 22-D.Henry left guard to KC 20 for 2 yards (20-J.Reid; 69-M.Pennel).,BLT,KC,RUSH,44,4,6,34,17,27,1,3,4,1,78,4,2,1,1,0,0,0,00-0032764,0,LG,00-0034361,00-0030757,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058141,(5:50) (Shotgun) 8-L.Jackson scrambles right end ran ob at KC 16 for 4 yards (35-Ja.Watson; 54-L.Chenal).,BLT,KC,RUSH,35,4,5,50,17,27,1,3,1,10,80,5,4,0,0,1,0,0,00-0034796,0,RE,00-0037195,00-0037819,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058142,(5:15) (Shotgun) 8-L.Jackson pass incomplete short right.,BLT,KC,PASS,9,4,5,15,17,27,1,3,2,6,84,5,0,0,0,1,0,0,,0,,,,00-0034796,0,0,SR,,,0,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058143,"(5:06) (Shotgun) 8-L.Jackson scrambles left guard to KC 14 for 2 yards (54-L.Chenal).Penalty on BLT-7-R.Bateman, Illegal Formation, declined.",BLT,KC,RUSH,8,4,5,6,17,27,1,3,3,6,84,5,2,0,0,1,0,0,00-0034796,0,LG,00-0037819,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058144,"(4:58) 9-J.Tucker 32 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",BLT,KC,FGXP,4,4,4,58,17,27,1,3,4,4,86,5,0,1,0,0,0,3,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,FG,00-0029597,32,1,,,,0,,,0,,,,0,,,0,,NA
6449,1058145,"9-J.Tucker kicks 65 yards from BLT 35 to end zone, Touchback to the KC 30.",KC,BLT,KOFF,0,4,4,54,27,20,3,1,0,0,65,4,0,1,0,0,0,0,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,00-0029597,65,65,1,,0,0,,NA
6449,1058146,(4:54) 10-I.Pacheco right tackle to KC 35 for 5 yards (39-E.Jackson).,KC,BLT,RUSH,40,4,4,54,27,20,3,1,1,10,30,2,5,0,0,0,0,0,00-0037197,0,RT,00-0033784,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058147,"(4:14) (Shotgun) PENALTY on KC-74-J.Taylor, False Start, 5 yards, enforced at KC 35 - No Play.",KC,BLT,NOPL,0,4,4,14,27,20,3,1,2,5,35,2,0,0,0,1,0,0,,0,,,,,0,0,,,,,,,,,KC,00-0035237,False Start,-5,NA,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058148,"(4:14) (Shotgun) 15-P.Mahomes scrambles right end pushed ob at KC 49 for 19 yards (0-R.Smith).Penalty on KC-4-R.Rice, Offensive Holding, offsetting, enforced at KC 30 - No Play.Penalty on BLT-32-M.Williams, Unnecessary Roughness, offsetting.",KC,BLT,NOPL,8,4,4,14,27,20,3,1,2,10,30,2,0,0,0,1,0,0,,0,,,,00-0033873,0,0,,,,0,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058149,(4:06) (Shotgun) 15-P.Mahomes pass short right to 10-I.Pacheco to KC 40 for 10 yards (2-N.Wiggins).,KC,BLT,PASS,37,4,4,6,27,20,3,1,2,10,30,2,10,1,1,1,0,0,,0,,,,00-0033873,1,0,SR,00-0037197,,-3,00-0039232,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058150,"(3:29) (No Huddle, Shotgun) 10-I.Pacheco right guard to KC 42 for 2 yards (98-T.Jones).",KC,BLT,RUSH,42,4,3,29,27,20,3,1,1,10,40,3,2,0,0,1,1,0,00-0037197,0,RG,00-0037756,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058151,(2:47) 42-C.Steele left end to KC 40 for -2 yards (0-R.Smith).,KC,BLT,RUSH,11,4,2,47,27,20,3,1,2,8,42,3,-2,0,0,0,0,0,00-0039325,0,LE,00-0034874,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058152,Timeout #3 by BLT at 02:36.,NA,NA,NOPL,0,4,2,36,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058153,(2:36) (Shotgun) 15-P.Mahomes pass short middle to 15-P.Mahomes to KC 42 for 2 yards (99-O.Oweh).,KC,BLT,PASS,36,4,2,36,27,20,3,0,3,10,40,3,2,0,0,1,0,0,,0,,,,00-0033873,1,0,SM,00-0033873,,-1,00-0036940,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058154,"(2:00) 14-M.Araiza punts 48 yards to BLT 10, Center-41-J.Winchester. 3-D.Harty to BLT 13 for 3 yards (13-N.Johnson).",KC,BLT,PUNT,10,4,2,0,27,20,3,0,4,8,42,3,0,1,0,0,0,0,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,00-0037284,48,45,0,00-0035215,3,0,,,,0,,,0,,NA
6449,1058155,(1:50) (Shotgun) 8-L.Jackson pass short right to 80-I.Likely pushed ob at BLT 21 for 8 yards (35-Ja.Watson).,BLT,KC,PASS,5,4,1,50,20,27,0,3,1,10,13,1,8,1,0,1,0,0,,0,,,,00-0034796,1,0,SR,00-0037838,,5,00-0037195,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058156,(1:45) (Shotgun) 8-L.Jackson scrambles right end pushed ob at BLT 30 for 9 yards (27-C.Conner).,BLT,KC,RUSH,8,4,1,45,20,27,0,3,2,2,21,2,9,1,1,1,0,0,00-0034796,0,RE,00-0038982,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058157,(1:37) (Shotgun) 8-L.Jackson pass incomplete deep left to 7-R.Bateman.,BLT,KC,PASS,6,4,1,37,20,27,0,3,1,10,30,2,0,0,0,1,0,0,,0,,,,00-0034796,0,0,DL,00-0036550,,40,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058158,(1:31) (Shotgun) 8-L.Jackson pass short right to 80-I.Likely pushed ob at BLT 38 for 8 yards (35-Ja.Watson).,BLT,KC,PASS,5,4,1,31,20,27,0,3,2,10,30,2,8,1,0,1,0,0,,0,,,,00-0034796,1,0,SR,00-0037838,,3,00-0037195,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058159,(1:26) (Shotgun) 8-L.Jackson scrambles up the middle to BLT 41 for 3 yards (32-N.Bolton). KC-54-L.Chenal was injured during the play.,BLT,KC,RUSH,15,4,1,26,20,27,0,3,3,2,38,2,3,1,1,1,0,0,00-0034796,0,RM,00-0036621,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058160,Timeout #1 by KC at 01:11.,NA,NA,NOPL,0,4,1,11,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058161,(1:11) (Shotgun) 8-L.Jackson pass short right to 43-J.Hill to BLT 48 for 7 yards (32-N.Bolton).,BLT,KC,PASS,24,4,1,11,20,27,0,2,1,10,41,3,7,0,0,1,0,0,,0,,,,00-0034796,1,0,SR,00-0034975,,0,00-0036621,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058162,"(:47) (No Huddle, Shotgun) 8-L.Jackson pass short right to 80-I.Likely pushed ob at KC 48 for 4 yards (35-Ja.Watson).",BLT,KC,PASS,4,4,0,47,20,27,0,2,2,3,48,3,4,1,1,1,1,0,,0,,,,00-0034796,1,0,SR,00-0037838,,1,00-0037195,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058163,(:43) (Shotgun) 8-L.Jackson pass deep right to 7-R.Bateman to KC 10 for 38 yards (6-B.Cook).,BLT,KC,PASS,25,4,0,43,20,27,0,2,1,10,52,3,38,1,1,1,0,0,,0,,,,00-0034796,1,0,DR,00-0036550,,36,00-0037193,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058164,"(:18) (No Huddle, Shotgun) 8-L.Jackson pass incomplete short left to 80-I.Likely. BLT-80-I.Likely was injured during the play.",BLT,KC,PASS,8,4,0,18,20,27,0,2,1,10,90,5,0,0,0,1,1,0,,0,,,,00-0034796,0,0,SL,00-0037838,,10,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058165,Timeout #4 by BLT at 00:10.,NA,NA,NOPL,0,4,0,10,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058166,(:10) (Shotgun) 8-L.Jackson pass incomplete short middle to 4-Z.Flowers. ** Injury Update: KC-54-L.Chenal has returned to the game.,BLT,KC,PASS,5,4,0,10,20,27,0,2,2,10,90,5,0,0,0,1,0,0,,0,,,,00-0034796,0,0,SM,00-0039064,,10,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058167,"(:05) (Shotgun) 8-L.Jackson pass short middle to 80-I.Likely for 10 yards, TOUCHDOWN.The Replay Official reviewed the pass completion ruling, and the play was REVERSED.(Shotgun) 8-L.Jackson pass incomplete short middle to 80-I.Likely (32-N.Bolton). ** Injury Update: BLT-80-I.Likely has returned to the game.",BLT,KC,PASS,-3595,4,0,5,20,27,0,2,3,10,90,5,0,0,0,1,0,0,,0,,,,00-0034796,0,0,SM,00-0037838,00-0036621,10,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
